
2024/05/31 (09:59:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/31 (11:10:54) | ===> btop++ v.1.3.2
2024/05/31 (11:10:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/31 (11:37:43) | ===> btop++ v.1.3.2
2024/05/31 (11:37:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/31 (14:23:39) | ===> btop++ v.1.3.2
2024/05/31 (14:23:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/31 (16:07:11) | ===> btop++ v.1.3.2
2024/05/31 (16:07:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/31 (16:21:36) | ===> btop++ v.1.3.2
2024/05/31 (16:21:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/31 (20:46:03) | ===> btop++ v.1.3.2
2024/05/31 (20:46:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/31 (20:59:48) | ===> btop++ v.1.3.2
2024/05/31 (20:59:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/01 (14:17:44) | ===> btop++ v.1.3.2
2024/06/01 (14:17:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/01 (15:56:10) | ===> btop++ v.1.3.2
2024/06/01 (15:56:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/01 (16:16:29) | ===> btop++ v.1.3.2
2024/06/01 (16:16:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/01 (16:24:51) | ===> btop++ v.1.3.2
2024/06/01 (16:24:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/01 (18:10:45) | ===> btop++ v.1.3.2
2024/06/01 (18:10:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/01 (19:28:24) | ===> btop++ v.1.3.2
2024/06/01 (19:28:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/01 (20:40:50) | ===> btop++ v.1.3.2
2024/06/01 (20:40:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/01 (20:50:14) | ===> btop++ v.1.3.2
2024/06/01 (20:50:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/01 (20:54:29) | ===> btop++ v.1.3.2
2024/06/01 (20:54:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/01 (20:54:32) | ===> btop++ v.1.3.2
2024/06/01 (20:54:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/01 (20:56:00) | ===> btop++ v.1.3.2
